RequirementText,_class_
system shall refresh display every second,PE
application shall match color schema set forth department homeland security,LF
project data must readable projection screen viewer must able read event activity data view distance,US
product shall available normal business hour long user access client pc system available time first six month operation,A
project data must understandable projection screen viewer must able determine event activity occur current time view distance,US
product shall ensure access authorized user product able distinguish authorize unauthorized user access attempt,SE
product shall intuitive new user shall able start display event activity within minute use product,US
product shall respond fast keep data display,PE
system shall mdi form allow viewing graph data table,F
system shall display event vertical table time,F
system shall display event graph time,F
system shall display event activity,F
display shall two region leave display graphical right display data table,F
data display node within graph row table msel summary data,F
table side display shall split region sequential temporal,F
top table hold event occur sequentially,F
bottom table hold event occur accord relevance current time,F
system shall color code event accord variance current time,F
system shall display data sync matrix exercise management tool application,F
system shall link event back either sync matrix exercise managment tool application modification,F
system shall allow modification display,F
system shall offer display event exercise,F
system shall filter data venue key event,F
system shall allow user define time segment,F
system shall display local exercise time separate clock,F
system shall offer ability pause resume refresh data,F
system shall provide chart activity event actual versus assume time,F
system shall provide history report change make activity event data,F
look feel system shall conform user interface standard smart device,LF
user interface shall standard menu button navigation,LF
system shall professional appearance,LF
product shall consistent color scheme font,LF
system shall use realtor training,US
system shall intuitive self explanatory,US
product shall easy realtor learn,US
product shall use symbol word naturally understandable realtor community,US
product shall produce search result acceptable time,PE
search result shall return later second user enter search criterion,PE
product shall generate cma report acceptable time,PE
cma report shall return later second user enter cma report criterion,PE
product shall synchronize contact appointment acceptable time,PE
product shall synchronize office system every hour,PE
product shall available use hour per day day per year,A
access system system available time,A
product shall operate offline mode whenever internet connection unavailable,FT
product shall allow user view previously download search result cma report appointment,FT
product shall retain user preference event failure,FT
save user preference shall restore system come back online,FT
product shall able support multiple remote user,SC
product shall able support simultaneous user,SC
product shall capable handle exist user number expect grow time within next year,SC
product shall instal untrained realtor without recourse instruction,US
untrained realtor shall able install product device without printed instruction,US
product expect run window ce palm operate system,PO
registered realtor shall able access system,SE
every user system shall authenticate authorize,SE
product shall prevent data incorrect data introduce,SE
system shall allow real estate agent query ml information,F
user shall able get driving direction select property,F
user shall able download appointment contact information client,F
system shall display clear property image search result,F
system shall update create new property listing ml,F
realtor shall able generate cma report base property criterion,F
system shall able call seller buyer schedule appointment,F
realtor shall notify new client appointment automatic synchronization office system,F
realtor shall able retrieve map show property location specified area,F
system shall notify realtor seller buyer responds appointment request,F
product shall allow user save property search result,F
system shall easy use program staff member,US
user shall able use system one day training,US
system shall help user avoid make mistake schedule class clinicals nursing student,US
number mistake note student shall decrease first year,US
system shall intuitive program staff member,US
program staff member shall successfully able use system manage scheduling class clinicals,US
system shall use symbol word naturally understandable user community,US
verbiage use within system shall consistent standard english terminology national nursing community,US
staff member shall able complete set task timely manner,PE
response time general student management task shall take long second response time schedule generation shall take long second,PE
system shall available use hour,A
system shall achieve time,A
system shall able handle user business hour,SC
system shall cater simultaneous user,SC
system shall capable process nursing student class next year,SC
system shall expect manage nursing program curriculum scheduling minimum year,SC
system shall able operate within business office environment typical nursing department depaul university,O
system shall use within specification define computer use program staff member,O
system shall operate within window xp professional operating system,O
system shall interface central server,O
system shall interface faculty central server,O
system shall interface student master server,O
must able interface html browser,O
authorized user shall access clinical site information,SE
program staff member people shall access clinical site detail,SE
authorized user shall access personal information,SE
dr susan poslusny dr julie donalek people shall access personal information,SE
authorized user shall access portion system interfaces campusconnect,SE
fit criterion dr susan poslusny karen sysol people shall access final class section schedule system interfaces campusconnect,SE
system shall basic data integrity check reduce possibility incorrect invalid data introduce,SE
system shall protect private information accordance information policy,SE
system shall build secure possible malicious interference,SE
system shall use standard virus protection software help monitor threat,SE
cohort shall associate one program study offer department,F
program administrator nursing staff member shall able add listing student cohort,F
program administrator nursing staff member shall able add single student cohort,F
student add cohort shall eligible program study,F
program administrator nursing staff member shall able specify preferred sequence class give cohort,F
class within sequence cohort program administrator nursing staff member shall able specify quarter class offer,F
program administrator nursing staff member shall able add new class sequence class,F
program administrator nursing staff member shall able add clinical class section sequence class,F
program administrator nursing staff member shall able add new cohort system identify start month year,F
program administrator nursing staff member shall able add new class nursing department system,F
class shall either class clinical class,F
class shall specify course name lecture room requirement instructor need,F
clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need,F
program staff member shall able create new program study,F
program study shall consist program name listing required class clinical must complete,F
program administrator nursing staff member shall ability specify class require program study,F
system shall able display report needed class give quarter cohort program program staff planning purpose,F
report needed class shall include limit class offer number section need number lab need room type need,F
class give cohort shall conflict regard time day offer,F
program administrator nursing staff member shall able add new clinical site system,F
clinical site information shall include limit name site contact person contact information,F
program administrator nursing staff member shall able add new clinical lab section exist clinical class system,F
clinical lab section shall include clinical site name class instructor day time lab,F
program administrator nursing staff member shall able add student register clinical class clinical lab section class,F
system shall allow program administrator nursing staff member remove student clinical lab section,F
system shall allow program staff member move student one clinical lab section another clinical lab section correspond clinical class,F
program staff member shall able cancel clinical lab section student register clinical lab section,F
program staff member shall able add new nursing student system,F
staff member shall ability manage progress part time student include modify sequence class timeline class,F
system shall able display printable summary individual cohort include student enlist program study sequence class cohort progress program timeline completion,F
system shall able display printable summary individual clinical site include information lab hold site give quarter clinical site general information labs hold location date time labs hold,F
system shall able display printable summary individual clinical lab include limit class name class number lab section listing student enrolled instructor day time location,F
